School District,Total,Anglo,Black,Hisp,B+H,Other
Farwell ISD,2328,1351,36,929,962,15
,688,312,10,364,372,4
Fayetteville ISD,1507,1407,37,48,85,15
,269,249,3,17,20,0
Ferris ISD,9559,4683,833,3950,4738,138
,2862,989,280,1598,1846,27
Flatonia ISD,3517,2295,152,1044,1194,28
,827,385,44,394,436,6
Florence ISD,5214,3931,65,1113,1166,117
,1371,886,24,439,458,27
Floresville ISD,21588,9939,496,10956,11385,264
,5563,1983,133,3419,3512,68
Flour Bluff ISD,30542,20412,1226,7496,8573,1557
,7173,3837,490,2623,3011,325
Floydada ISD,3955,1654,180,2119,2283,18
,1135,260,56,828,875,0
Follett ISD,614,520,5,79,84,10
,161,125,4,28,32,4
Forestburg ISD,1033,954,2,65,67,12
,213,183,1,24,25,5
Forney ISD,31980,22911,3435,4924,8243,826
,10636,6965,1316,2131,3375,296
Forsan ISD,2198,1823,31,325,339,36
,547,424,15,116,120,3
Fort Bend ISD,347923,98499,99436,72276,169222,80202
,100711,22452,31669,25531,55960,22299
Fort Davis ISD,2024,1294,41,671,695,35
,417,216,19,182,194,7
Fort Elliott Cons ISD,841,736,9,84,88,17
,196,147,7,43,47,2
Fort Hancock ISD,2226,202,16,1999,2005,19
,741,28,8,702,706,7
Fort Sam Houston ISD,7129,4227,1263,1200,2373,529
,1545,726,372,392,707,112
Fort Stockton ISD,13461,3325,563,9436,9957,179
,3251,403,41,2796,2817,31
Fort Worth ISD,466908,163769,100888,191066,288808,14331
,127431,23750,30024,71913,100255,3426
Franklin ISD,5441,4447,444,473,897,97
,1330,1011,124,175,286,33
Frankston ISD,4518,3776,435,237,663,79
,1046,798,142,93,230,18
Fredericksburg ISD,21950,16880,110,4723,4789,281
,4490,2657,37,1727,1752,81
Freer ISD,3269,608,20,2631,2636,25
,959,142,6,812,812,5
Frenship ISD,42332,28607,1890,10199,11884,1841
,11378,6576,713,3681,4246,556
Friendswood ISD,25522,21035,527,2541,3044,1443
,7087,5519,174,944,1109,459
Friona ISD,5085,1678,81,3314,3367,40
,1586,321,25,1246,1258,7
Frisco ISD,163060,104267,16569,19601,35514,23279
,53666,32165,6111,7563,13297,8204
Frost ISD,1730,1283,77,352,428,19
,446,288,17,136,153,5
Fruitvale ISD,1675,1476,16,159,175,24
,398,326,12,54,66,6
Gainesville ISD,18333,11951,1181,4734,5858,524
,5079,2393,490,2081,2536,150
Galena Park ISD,83902,11922,16013,54789,70077,1903
,26995,1740,4710,20540,24862,393
Galveston ISD,50606,23855,9580,15307,24487,2264
,9630,2625,2443,4395,6619,386
Ganado ISD,3217,1990,71,1136,1199,28
,793,362,19,406,421,10
Garland ISD,276437,115069,41820,92963,133247,28121
,79774,22334,14630,36228,49964,7476
Garner ISD,3667,2158,754,724,1475,34
,382,342,4,31,34,6
Garrison ISD,3138,2296,607,209,811,31
,737,486,151,94,241,10
Gary ISD,1856,1693,39,108,146,17
,439,382,7,48,55,2
Gatesville ISD,22838,15854,3342,3306,6595,389
,3792,2817,201,728,904,71
Gause ISD,851,646,116,79,193,12
,217,143,33,41,73,1
George West ISD,6550,4203,56,2215,2253,94
,1415,741,24,631,649,25
