"","PCTKEY","DISTRICT_N","intesecting"
"15874","4690019","235902",0.999999999998172
"15875","4690020","235904",0
"15876","4690020","235902",1.00000000000034
"15877","4690021","235902",0.999999999999238
"15878","4690022","235904",0
"15879","4690022","235902",0.763694732987001
"15880","4690022","62906",0.236305267010404
"15881","4690022","62901",0
"15882","4690022","88902",0
"15883","4690023","235904",0.541328251018689
"15884","4690023","235902",0.458671748980933
"15885","4690023","62906",0
"15886","4690023","62903",0
"15887","4690023","62901",0
"15888","4690024","235904",0.158573716285911
"15889","4690024","235902",0.841426283714533
"15890","4690025","235902",0.99999999999981
"15891","4690026","235902",0.999999999999857
"15892","4690026","120905",0
"15893","4690027","235902",0.175723433628936
"15894","4690027","120905",0.824276566370864
"15895","4690027","120901",0
"15896","4690028","235902",0.999999999998979
"15897","4690028","120905",0
"15898","4690029","235902",0.999999999999526
"15899","4690030","235902",0.999999999999754
"15900","4690031","235902",0.999999999999413
"15901","4690032","235902",0.999999999998471
"15902","4690033","235902",1.0000000000004
"15903","4690034","235902",0.999999999999664
"15904","4690035","235902",0.999999999999064
"15905","470001","125906",0
"15906","470001","66005",0
"15907","470001","124901",0
"15908","470001","24901",1.00000000000018
"15909","470002","125906",0
"15910","470002","24901",1.00000000000022
"15911","470003","125906",0
"15912","470003","24901",1.00000000000409
"15913","470004","137904",0
"15914","470004","125906",0
"15915","470004","24901",1.00000000000187
"15916","470004","131001",0
"15917","470005","124901",0
"15918","470005","24901",0.999999999999135
"15919","470005","214902",0
"15920","470005","108904",0
"15921","470006","24901",0.999999999998004
"15922","470007","24901",1.00000000000075
"15923","470007","131001",0
"15924","470007","108904",0
"15925","470008","24901",1.00000000000059
"15926","470009","124901",0
"15927","470009","24901",1.00000000000075
"15928","4710101","236902",0.999999999998945
"15929","4710102","236902",1.0000000000026
"15930","4710103","236902",0.999999999998694
"15931","4710103","154901",0
"15932","4710104","228903",0
"15933","4710104","113903",0
"15934","4710104","236902",0.999999999998461
"15935","4710104","154901",0
"15936","4710201","236902",0.999999999998349
